name,bodyPart,equipment,target,difficulty,intensity,time_minutes
3/4 sit-up,waist,body weight,abs,Beginner,Low,15
45° side bend,waist,body weight,abs,Beginner,Low,15
air bike,waist,body weight,abs,Beginner,Low,15
all fours squad stretch,upper legs,body weight,quads,Beginner,Moderate,15
alternate heel touchers,waist,body weight,abs,Beginner,Low,15
alternate lateral pulldown,back,cable,lats,Intermediate,Low,15
ankle circles,lower legs,body weight,calves,Beginner,Moderate,15
archer pull up,back,body weight,lats,Beginner,Low,15
archer push up,chest,body weight,pectorals,Beginner,Low,15
arm slingers hanging bent knee legs,waist,body weight,abs,Beginner,Low,15
arm slingers hanging straight legs,waist,body weight,abs,Beginner,Low,15
arms apart circular toe touch (male),upper legs,body weight,glutes,Beginner,Moderate,15
arms overhead full sit-up (male),waist,body weight,abs,Beginner,Low,15
assisted chest dip (kneeling),chest,leverage machine,pectorals,Advanced,Low,15
assisted hanging knee raise,waist,assisted,abs,Advanced,Low,15
assisted hanging knee raise with throw down,waist,assisted,abs,Advanced,High,15
assisted lying calves stretch,lower legs,assisted,calves,Advanced,Moderate,15
assisted lying glutes stretch,upper legs,assisted,glutes,Advanced,Moderate,15
assisted lying gluteus and piriformis stretch,upper legs,assisted,glutes,Advanced,Moderate,15
assisted lying leg raise with lateral throw down,waist,assisted,abs,Advanced,High,15
assisted lying leg raise with throw down,waist,assisted,abs,Advanced,High,15
assisted motion russian twist,waist,medicine ball,abs,Advanced,Low,15
assisted parallel close grip pull-up,back,leverage machine,lats,Advanced,Low,15
assisted prone hamstring,upper legs,assisted,hamstrings,Advanced,Moderate,15
assisted prone lying quads stretch,upper legs,assisted,quads,Advanced,Moderate,15
assisted prone rectus femoris stretch,waist,assisted,abs,Advanced,Low,15
assisted pull-up,back,leverage machine,lats,Advanced,Low,15
assisted seated pectoralis major stretch with stability ball,chest,assisted,pectorals,Advanced,Low,15
assisted side lying adductor stretch,upper legs,assisted,adductors,Advanced,Moderate,15
assisted sit-up,waist,assisted,abs,Advanced,Low,15
assisted standing chin-up,back,leverage machine,lats,Advanced,Low,15
assisted standing pull-up,back,leverage machine,lats,Advanced,Low,15
assisted standing triceps extension (with towel),upper arms,assisted,triceps,Advanced,Low,15
assisted triceps dip (kneeling),upper arms,leverage machine,triceps,Advanced,Low,15
assisted wide-grip chest dip (kneeling),chest,leverage machine,pectorals,Advanced,Low,15
astride jumps (male),cardio,body weight,cardiovascular system,Beginner,High,15
back and forth step,cardio,body weight,cardiovascular system,Beginner,High,15
back extension on exercise ball,back,stability ball,spine,Advanced,Low,15
back lever,back,body weight,upper back,Beginner,Low,15
back pec stretch,back,body weight,lats,Beginner,Low,15
backward jump,upper legs,body weight,quads,Beginner,High,15
balance board,upper legs,body weight,quads,Beginner,Moderate,15
band alternating biceps curl,upper arms,band,biceps,Advanced,Low,15
band alternating v-up,waist,band,abs,Advanced,Low,15
band assisted pull-up,back,band,lats,Advanced,Low,15
band assisted wheel rollerout,waist,band,abs,Advanced,Low,15
band bench press,chest,band,pectorals,Advanced,Moderate,15
band bent-over hip extension,upper legs,band,glutes,Advanced,Moderate,15
band bicycle crunch,waist,band,abs,Advanced,High,15
band close-grip pulldown,back,band,lats,Advanced,Low,15
band close-grip push-up,upper arms,band,triceps,Advanced,Low,15
band concentration curl,upper arms,band,biceps,Advanced,Low,15
band fixed back close grip pulldown,back,band,lats,Advanced,Low,15
band fixed back underhand pulldown,back,band,lats,Advanced,Low,15
band front lateral raise,shoulders,band,delts,Advanced,Low,15
band front raise,shoulders,band,delts,Advanced,Low,15
band hip lift,upper legs,band,glutes,Advanced,Moderate,15
band horizontal pallof press,waist,band,abs,Advanced,Moderate,15
band jack knife sit-up,waist,band,abs,Advanced,Low,15
band kneeling one arm pulldown,back,band,lats,Advanced,Low,15
band kneeling twisting crunch,waist,band,abs,Advanced,High,15
band lying hip internal rotation,upper legs,band,glutes,Advanced,Moderate,15
band lying straight leg raise,waist,band,abs,Advanced,Low,15
band one arm overhead biceps curl,upper arms,band,biceps,Advanced,Low,15
band one arm single leg split squat,upper legs,band,quads,Advanced,Moderate,15
band one arm standing low row,back,band,upper back,Advanced,High,15
band one arm twisting chest press,chest,band,pectorals,Advanced,Moderate,15
band one arm twisting seated row,back,band,upper back,Advanced,High,15
band pull through,upper legs,band,glutes,Advanced,Moderate,15
band push sit-up,waist,band,abs,Advanced,Low,15
band reverse fly,shoulders,band,delts,Advanced,Low,15
band reverse wrist curl,lower arms,band,forearms,Advanced,Low,15
band seated hip internal rotation,upper legs,band,glutes,Advanced,Moderate,15
band seated twist,waist,band,abs,Advanced,Low,15
band shoulder press,shoulders,band,delts,Advanced,Moderate,15
band shrug,back,band,traps,Advanced,Low,15
band side triceps extension,upper arms,band,triceps,Advanced,Low,15
band single leg calf raise,lower legs,band,calves,Advanced,Moderate,15
band single leg reverse calf raise,lower legs,band,calves,Advanced,Moderate,15
band single leg split squat,upper legs,band,quads,Advanced,Moderate,15
band squat,upper legs,band,glutes,Advanced,Moderate,15
band squat row,upper legs,band,glutes,Advanced,High,15
band standing crunch,waist,band,abs,Advanced,High,15
band standing rear delt row,shoulders,band,delts,Advanced,High,15
band standing twisting crunch,waist,band,abs,Advanced,High,15
band step-up,upper legs,band,glutes,Advanced,Moderate,15
band stiff leg deadlift,upper legs,band,glutes,Advanced,Moderate,15
band straight back stiff leg deadlift,upper legs,band,glutes,Advanced,Moderate,15
band straight leg deadlift,back,band,spine,Advanced,Moderate,15
band twisting overhead press,shoulders,band,delts,Advanced,Moderate,15
band two legs calf raise - (band under both legs) v. 2,lower legs,band,calves,Advanced,Moderate,15
band underhand pulldown,back,band,lats,Advanced,Low,15
band v-up,waist,band,abs,Advanced,Low,15
band vertical pallof press,waist,band,abs,Advanced,Moderate,15
band wrist curl,lower arms,band,forearms,Advanced,Low,15
band y-raise,shoulders,band,delts,Advanced,Low,15
barbell alternate biceps curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell bench front squat,upper legs,barbell,quads,Intermediate,Moderate,15
barbell bench press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell bench squat,upper legs,barbell,quads,Intermediate,Moderate,15
barbell bent arm pullover,back,barbell,lats,Intermediate,Low,15
barbell bent over row,back,barbell,upper back,Intermediate,High,15
barbell biceps curl (with arm blaster),upper arms,barbell,biceps,Intermediate,Low,15
barbell clean and press,upper legs,barbell,quads,Intermediate,Moderate,15
barbell clean-grip front squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell close-grip bench press,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell deadlift,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell decline bench press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell decline bent arm pullover,back,barbell,lats,Intermediate,Low,15
barbell decline close grip to skull press,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell decline pullover,chest,barbell,pectorals,Intermediate,Low,15
barbell decline wide-grip press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell decline wide-grip pullover,back,barbell,lats,Intermediate,Low,15
barbell drag curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell floor calf raise,lower legs,barbell,calves,Intermediate,Moderate,15
barbell front chest squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell front raise,shoulders,barbell,delts,Intermediate,Low,15
barbell front raise and pullover,chest,barbell,pectorals,Intermediate,Low,15
barbell front squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell full squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell full squat (back pov),upper legs,barbell,glutes,Intermediate,Moderate,15
barbell full squat (side pov),upper legs,barbell,glutes,Intermediate,Moderate,15
barbell full zercher squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell glute bridge,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell glute bridge two legs on bench (male),upper legs,barbell,glutes,Intermediate,Moderate,15
barbell good morning,upper legs,barbell,hamstrings,Intermediate,Moderate,15
barbell guillotine bench press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell hack squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell high bar squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell incline bench press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell incline close grip bench press,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell incline reverse-grip press,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell incline row,back,barbell,upper back,Intermediate,High,15
barbell incline shoulder raise,chest,barbell,serratus anterior,Intermediate,Low,15
barbell jefferson squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell jm bench press,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell jump squat,upper legs,barbell,glutes,Intermediate,High,15
barbell lateral lunge,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell low bar squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell lunge,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell lying back of the head tricep extension,upper arms,barbell,triceps,Intermediate,Low,15
barbell lying close-grip press,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell lying close-grip triceps extension,upper arms,barbell,triceps,Intermediate,Low,15
barbell lying extension,upper arms,barbell,triceps,Intermediate,Low,15
barbell lying lifting (on hip),upper legs,barbell,glutes,Intermediate,Moderate,15
barbell lying preacher curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell lying triceps extension,upper arms,barbell,triceps,Intermediate,Low,15
barbell lying triceps extension skull crusher,upper arms,barbell,triceps,Intermediate,Low,15
barbell narrow stance squat,upper legs,barbell,glutes,Intermediate,High,15
barbell one arm bent over row,back,barbell,upper back,Intermediate,High,15
barbell one arm floor press,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell one arm side deadlift,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell one arm snatch,shoulders,barbell,delts,Intermediate,Low,15
barbell one leg squat,upper legs,barbell,quads,Intermediate,Moderate,15
barbell overhead squat,upper legs,barbell,quads,Intermediate,Moderate,15
barbell palms down wrist curl over a bench,lower arms,barbell,forearms,Intermediate,Low,15
barbell palms up wrist curl over a bench,lower arms,barbell,forearms,Intermediate,Low,15
barbell pendlay row,back,barbell,upper back,Intermediate,High,15
barbell pin presses,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell preacher curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell press sit-up,waist,barbell,abs,Intermediate,Moderate,15
barbell prone incline curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell pullover,back,barbell,lats,Intermediate,Low,15
barbell pullover to press,back,barbell,lats,Intermediate,Moderate,15
barbell rack pull,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell rear delt raise,shoulders,barbell,delts,Intermediate,Low,15
barbell rear delt row,shoulders,barbell,delts,Intermediate,High,15
barbell rear lunge,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell rear lunge v. 2,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell revers wrist curl v. 2,lower arms,barbell,forearms,Intermediate,Low,15
barbell reverse close-grip bench press,upper arms,barbell,triceps,Intermediate,Moderate,15
barbell reverse curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell reverse grip bent over row,back,barbell,upper back,Intermediate,High,15
barbell reverse grip decline bench press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell reverse grip incline bench press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell reverse grip incline bench row,back,barbell,upper back,Intermediate,High,15
barbell reverse grip skullcrusher,upper arms,barbell,triceps,Intermediate,Low,15
barbell reverse preacher curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell reverse wrist curl,lower arms,barbell,forearms,Intermediate,Low,15
barbell rollerout,waist,barbell,abs,Intermediate,Low,15
barbell rollerout from bench,waist,barbell,abs,Intermediate,Low,15
barbell romanian deadlift,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell seated behind head military press,shoulders,barbell,delts,Intermediate,Moderate,15
barbell seated bradford rocky press,shoulders,barbell,delts,Intermediate,Moderate,15
barbell seated calf raise,lower legs,barbell,calves,Intermediate,Moderate,15
barbell seated calf raise,lower legs,barbell,calves,Intermediate,Moderate,15
barbell seated close grip behind neck triceps extension,upper arms,barbell,triceps,Intermediate,Low,15
barbell seated close-grip concentration curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell seated good morning,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell seated overhead press,shoulders,barbell,delts,Intermediate,Moderate,15
barbell seated overhead triceps extension,upper arms,barbell,triceps,Intermediate,Low,15
barbell seated twist,waist,barbell,abs,Intermediate,Low,15
barbell shrug,back,barbell,traps,Intermediate,Low,15
barbell side bent v. 2,waist,barbell,abs,Intermediate,Low,15
barbell side split squat,upper legs,barbell,quads,Intermediate,Moderate,15
barbell side split squat v. 2,upper legs,barbell,quads,Intermediate,Moderate,15
barbell single leg deadlift,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell single leg split squat,upper legs,barbell,quads,Intermediate,Moderate,15
barbell sitted alternate leg raise,waist,barbell,abs,Intermediate,Low,15
barbell sitted alternate leg raise (female),waist,barbell,abs,Intermediate,Low,15
barbell skier,shoulders,barbell,delts,Intermediate,Low,15
barbell speed squat,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell split squat v. 2,upper legs,barbell,quads,Intermediate,Moderate,15
barbell squat (on knees),upper legs,barbell,quads,Intermediate,Moderate,15
barbell squat jump step rear lunge,upper legs,barbell,quads,Intermediate,High,15
barbell standing ab rollerout,waist,barbell,abs,Intermediate,Low,15
barbell standing back wrist curl,lower arms,barbell,forearms,Intermediate,Low,15
barbell standing bradford press,shoulders,barbell,delts,Intermediate,Moderate,15
barbell standing calf raise,lower legs,barbell,calves,Intermediate,Moderate,15
barbell standing close grip curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell standing close grip military press,shoulders,barbell,delts,Intermediate,Moderate,15
barbell standing concentration curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell standing front raise over head,shoulders,barbell,delts,Intermediate,Low,15
barbell standing leg calf raise,lower legs,barbell,calves,Intermediate,Moderate,15
barbell standing overhead triceps extension,upper arms,barbell,triceps,Intermediate,Low,15
barbell standing reverse grip curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell standing rocking leg calf raise,lower legs,barbell,calves,Intermediate,Moderate,15
barbell standing twist,waist,barbell,abs,Intermediate,Low,15
barbell standing wide grip biceps curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell standing wide military press,shoulders,barbell,delts,Intermediate,Moderate,15
barbell standing wide-grip curl,upper arms,barbell,biceps,Intermediate,Low,15
barbell step-up,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell stiff leg good morning,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell straight leg deadlift,upper legs,barbell,hamstrings,Intermediate,Moderate,15
barbell sumo deadlift,upper legs,barbell,glutes,Intermediate,Moderate,15
barbell thruster,shoulders,barbell,delts,Intermediate,Low,15
barbell upright row,shoulders,barbell,delts,Intermediate,High,15
barbell upright row v. 2,shoulders,barbell,delts,Intermediate,High,15
barbell upright row v. 3,shoulders,barbell,delts,Intermediate,High,15
barbell wide bench press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell wide reverse grip bench press,chest,barbell,pectorals,Intermediate,Moderate,15
barbell wide squat,upper legs,barbell,quads,Intermediate,Moderate,15
barbell wide-grip upright row,shoulders,barbell,delts,Intermediate,High,15
barbell wrist curl,lower arms,barbell,forearms,Intermediate,Low,15
barbell wrist curl v. 2,lower arms,barbell,forearms,Intermediate,Low,15
barbell zercher squat,upper legs,barbell,glutes,Intermediate,Moderate,15
basic toe touch (male),upper legs,body weight,glutes,Beginner,Moderate,15
battling ropes,shoulders,rope,delts,Advanced,Low,15
bear crawl,cardio,body weight,cardiovascular system,Beginner,High,15
behind head chest stretch,chest,assisted,pectorals,Advanced,Low,15
bench dip (knees bent),upper arms,body weight,triceps,Beginner,Low,15
bench dip on floor,upper arms,body weight,triceps,Beginner,Low,15
bench hip extension,upper legs,body weight,glutes,Beginner,Moderate,15
bench pull-ups,back,body weight,lats,Beginner,Low,15
bent knee lying twist (male),upper legs,body weight,glutes,Beginner,Moderate,15
biceps leg concentration curl,upper arms,body weight,biceps,Beginner,Low,15
biceps narrow pull-ups,upper arms,body weight,biceps,Beginner,High,15
biceps pull-up,upper arms,body weight,biceps,Beginner,Low,15
body-up,upper arms,body weight,triceps,Beginner,Low,15
bodyweight drop jump squat,upper legs,body weight,glutes,Beginner,High,15
bodyweight incline side plank,waist,body weight,abs,Beginner,Low,15
bodyweight kneeling triceps extension,upper arms,body weight,triceps,Beginner,Low,15
bodyweight side lying biceps curl,upper arms,body weight,biceps,Beginner,Low,15
bodyweight squatting row,back,body weight,upper back,Beginner,High,15
bodyweight squatting row (with towel),back,body weight,upper back,Beginner,High,15
bodyweight standing calf raise,lower legs,body weight,calves,Beginner,Moderate,15
bodyweight standing close-grip one arm row,back,body weight,upper back,Beginner,High,15
bodyweight standing close-grip row,back,body weight,upper back,Beginner,High,15
bodyweight standing one arm row,back,body weight,upper back,Beginner,High,15
bodyweight standing one arm row (with towel),back,body weight,upper back,Beginner,High,15
bodyweight standing row,back,body weight,upper back,Beginner,High,15
bodyweight standing row (with towel),back,body weight,upper back,Beginner,High,15
bottoms-up,waist,body weight,abs,Beginner,Low,15
box jump down with one leg stabilization,lower legs,body weight,calves,Beginner,High,15
bridge - mountain climber (cross body),waist,body weight,abs,Beginner,Low,15
burpee,cardio,body weight,cardiovascular system,Beginner,High,15
butt-ups,waist,body weight,abs,Beginner,Low,15
butterfly yoga pose,upper legs,body weight,adductors,Beginner,Moderate,15
cable alternate shoulder press,shoulders,cable,delts,Intermediate,Moderate,15
cable alternate triceps extension,upper arms,cable,triceps,Intermediate,Low,15
cable assisted inverse leg curl,upper legs,cable,hamstrings,Intermediate,Moderate,15
cable bar lateral pulldown,back,cable,lats,Intermediate,Low,15
cable bench press,chest,cable,pectorals,Intermediate,Moderate,15
cable close grip curl,upper arms,cable,biceps,Intermediate,Low,15
cable concentration curl,upper arms,cable,biceps,Intermediate,Low,15
cable concentration extension (on knee),upper arms,cable,triceps,Intermediate,Low,15
cable cross-over lateral pulldown,back,cable,lats,Intermediate,Low,15
cable cross-over revers fly,shoulders,cable,delts,Intermediate,Low,15
cable cross-over variation,chest,cable,pectorals,Intermediate,Low,15
cable curl,upper arms,cable,biceps,Intermediate,Low,15
cable deadlift,upper legs,cable,glutes,Intermediate,Moderate,15
cable decline fly,chest,cable,pectorals,Intermediate,Low,15
cable decline one arm press,chest,cable,pectorals,Intermediate,Moderate,15
cable decline press,chest,cable,pectorals,Intermediate,Moderate,15
cable decline seated wide-grip row,back,cable,upper back,Intermediate,High,15
cable drag curl,upper arms,cable,biceps,Intermediate,Low,15
cable floor seated wide-grip row,back,cable,upper back,Intermediate,High,15
cable forward raise,shoulders,cable,delts,Intermediate,Low,15
cable front raise,shoulders,cable,delts,Intermediate,Low,15
cable front shoulder raise,shoulders,cable,delts,Intermediate,Low,15
cable hammer curl (with rope),upper arms,cable,biceps,Intermediate,Low,15
cable high pulley overhead tricep extension,upper arms,cable,triceps,Intermediate,Low,15
cable high row (kneeling),back,cable,upper back,Intermediate,High,15
cable hip adduction,upper legs,cable,adductors,Intermediate,Moderate,15
cable incline bench press,chest,cable,pectorals,Intermediate,Moderate,15
cable incline bench row,back,cable,upper back,Intermediate,High,15
cable incline fly,chest,cable,pectorals,Intermediate,Low,15
cable incline fly (on stability ball),chest,cable,pectorals,Intermediate,Low,15
cable incline pushdown,back,cable,lats,Intermediate,Low,15
cable incline triceps extension,upper arms,cable,triceps,Intermediate,Low,15
cable judo flip,waist,cable,abs,Intermediate,Low,15
cable kickback,upper arms,cable,triceps,Intermediate,Low,15
cable kneeling crunch,waist,cable,abs,Intermediate,High,15
cable kneeling rear delt row (with rope) (male),shoulders,cable,delts,Intermediate,High,15
cable kneeling triceps extension,upper arms,cable,triceps,Intermediate,Low,15
cable lat pulldown full range of motion,back,cable,lats,Intermediate,Low,15
cable lateral pulldown (with rope attachment),back,cable,lats,Intermediate,Low,15
cable lateral pulldown with v-bar,back,cable,lats,Intermediate,Low,15
cable lateral raise,shoulders,cable,delts,Intermediate,Low,15
cable low fly,chest,cable,pectorals,Intermediate,Low,15
cable low seated row,back,cable,upper back,Intermediate,High,15
cable lying bicep curl,upper arms,cable,biceps,Intermediate,Low,15
cable lying close-grip curl,upper arms,cable,biceps,Intermediate,Low,15
cable lying extension pullover (with rope attachment),back,cable,lats,Intermediate,Low,15
cable lying fly,chest,cable,pectorals,Intermediate,Low,15
cable lying triceps extension v. 2,upper arms,cable,triceps,Intermediate,Low,15
cable middle fly,chest,cable,pectorals,Intermediate,Low,15
cable one arm bent over row,back,cable,upper back,Intermediate,High,15
cable one arm curl,upper arms,cable,biceps,Intermediate,Low,15
cable one arm decline chest fly,chest,cable,pectorals,Intermediate,Low,15
cable one arm fly on exercise ball,chest,cable,pectorals,Intermediate,Low,15
cable one arm incline fly on exercise ball,chest,cable,pectorals,Intermediate,Low,15
cable one arm incline press,chest,cable,pectorals,Intermediate,Moderate,15
cable one arm incline press on exercise ball,chest,cable,pectorals,Intermediate,Moderate,15
cable one arm lateral bent-over,chest,cable,pectorals,Intermediate,Low,15
cable one arm lateral raise,shoulders,cable,delts,Intermediate,Low,15
cable one arm preacher curl,upper arms,cable,biceps,Intermediate,Low,15
cable one arm press on exercise ball,chest,cable,pectorals,Intermediate,Moderate,15
cable one arm pulldown,back,cable,lats,Intermediate,Low,15
cable one arm reverse preacher curl,upper arms,cable,biceps,Intermediate,Low,15
cable one arm straight back high row (kneeling),back,cable,upper back,Intermediate,High,15
cable one arm tricep pushdown,upper arms,cable,triceps,Intermediate,Low,15
cable overhead curl,upper arms,cable,biceps,Intermediate,Low,15
cable overhead curl on exercise ball,upper arms,cable,biceps,Intermediate,Low,15
cable overhead triceps extension (rope attachment),upper arms,cable,triceps,Intermediate,Low,15
